Name,Age,Gender,Overall usage of smartphones (in hours),Time since you acquired your first phone?,Do you feel anxious when you  dont have your smartphones.,Arguments for using smartphone for long time,Can you live without phone?,Are you addicted to smartphone?,Do you use your smartphone while driving ,Do you spend time on physical activities?,Do you plug your cell phone into the wall next to your bed when you go to sleep?,Do you use your cell phone while its charging?
371,21,1,5,3,0,2,0,1,1,0,1,1
372,21,0,4,2,0,2,1,0,1,0,1,1
373,21,1,4,2,1,2,1,1,1,1,1,1
374,19,1,9,2,1,2,2,0,1,0,0,0
375,20,1,12,3,1,3,0,0,1,1,0,0
376,23,1,12,3,0,2,1,0,1,0,0,0
377,24,0,3,1,1,1,0,1,1,0,1,1
378,18,1,5,2,0,2,2,1,1,0,1,1
379,24,0,3,2,1,1,0,1,1,0,1,1
380,24,1,6,1,1,2,2,1,1,0,1,1
381,21,1,5,2,0,2,2,0,1,1,1,0
382,22,1,6,2,0,2,2,0,1,0,1,1
383,21,1,10,1,0,1,2,0,1,0,0,0
384,24,1,3,1,1,2,0,1,1,1,0,0
385,21,1,15,1,0,2,1,0,1,1,1,0
386,25,1,12,2,0,1,1,1,1,0,1,1
387,21,1,3,3,1,2,2,1,1,0,1,1
388,21,1,4,2,0,1,0,1,1,0,1,1
389,19,0,4,3,1,2,2,1,1,0,1,1
390,22,1,5,2,0,2,2,1,1,0,0,0
391,19,1,6,3,1,2,2,1,1,0,1,1
392,23,1,5,1,1,3,0,1,1,0,1,1
393,22,1,5,3,1,2,0,1,1,0,1,1
394,35,0,10,1,0,1,2,0,1,0,0,1
395,22,1,3,3,1,1,0,1,1,1,0,1
396,20,0,10,1,0,3,1,0,0,0,0,1
397,20,1,9,4,0,2,2,1,1,0,0,0
398,24,0,4,1,0,1,2,0,1,0,1,0
399,23,1,3,2,0,2,1,1,0,0,0,0
400,23,1,4,1,1,1,2,1,1,0,0,0
401,22,0,2,1,1,1,1,1,1,0,1,1
402,21,1,5,3,1,1,0,1,1,1,1,1
403,21,1,4,3,1,1,2,1,1,0,1,1
404,21,1,4,5,1,2,0,1,1,1,0,0
405,23,0,4,1,1,2,0,1,0,0,1,1
406,21,1,4,2,0,2,1,1,1,0,1,1
407,18,0,5,4,1,2,0,1,1,0,1,0
408,21,1,6,1,1,2,0,1,1,0,0,1
409,22,0,3,3,1,2,0,1,0,0,1,1
410,23,0,8,1,1,1,0,1,1,0,1,1
411,22,1,5,3,1,2,0,1,1,0,0,0
412,34,0,8,1,0,3,1,0,0,1,0,0
413,14,0,8,5,0,3,2,0,1,0,1,1
414,22,0,10,2,0,2,1,0,1,1,0,1
415,20,1,3,2,0,2,2,0,1,0,0,0
416,19,1,5,1,1,2,2,1,1,0,1,1
417,25,0,4,1,1,2,0,1,1,0,0,1
418,22,0,6,2,0,2,2,0,0,0,0,1
419,18,1,4,4,0,3,1,0,1,1,1,1
420,45,1,3,3,1,2,2,1,1,0,1,1
421,18,1,1,3,1,2,0,1,1,0,1,1
422,23,0,6,3,0,2,1,0,1,0,1,0
423,21,1,6,1,1,1,0,1,1,0,0,1
424,24,0,4,1,1,3,1,1,1,0,1,1
425,21,0,10,5,0,2,2,0,0,0,0,0
426,27,1,6,1,0,3,2,0,1,1,1,0
427,20,1,3,4,1,1,2,1,1,1,1,1
428,19,0,10,2,0,1,1,1,1,0,0,1
429,19,0,5,3,1,2,2,1,1,0,0,1
430,20,0,6,3,0,1,2,1,1,1,0,0
431,20,0,5,3,1,2,2,1,1,0,0,1
432,18,1,3,4,1,1,0,1,1,0,0,1
433,20,1,8,3,0,1,0,1,1,0,1,1
434,19,1,8,2,0,2,1,0,1,1,0,1
435,19,1,3,5,0,2,0,1,0,0,1,1
436,21,0,2,1,0,1,2,0,1,1,1,1
437,20,1,3,4,0,2,1,1,1,1,1,1
438,40,1,2,1,1,1,1,1,1,0,0,1
439,21,0,4,2,1,2,2,1,0,1,0,1
440,21,1,3,4,1,2,2,1,1,1,1,1
441,22,0,5,1,1,3,2,0,0,0,0,0
442,20,1,10,1,0,1,1,0,1,0,0,0
443,23,1,3,3,1,1,0,1,1,0,1,1
444,20,0,7,3,1,1,2,1,1,1,1,1
445,25,0,18,1,0,3,2,1,1,0,0,0
446,21,0,8,2,1,1,0,1,1,0,1,1
447,38,1,2,1,1,1,2,1,1,0,1,1
448,21,0,8,3,1,1,2,1,1,0,1,1
449,21,1,6,1,0,2,1,0,1,1,0,0
450,20,1,12,1,1,2,0,1,1,1,1,1
451,21,0,3,2,1,2,0,1,0,0,1,1
